Variable 1,Variable 2,Correlation Coefficient,p Value,Absolute Value of Correlation,Correlation Strength,Direction
BurnRCA,DevelopRCA,-0.2632233433761234,0.025483766155853793,0.2632233433761234,Weak,Negative
HiCascRCA,meanAirTemp,-0.23333359738962745,0.04854454459820645,0.23333359738962745,Weak,Negative
LakesRCA,meanAirTemp,0.21718833744661417,0.0668631851765844,0.21718833744661417,Weak,Positive
thermalSensitivity,WetlandsRC,0.21157795842117938,0.07440160850947475,0.21157795842117938,Weak,Positive
AgricultRC,RoadsRCA,0.20471359171138254,0.08453266439306928,0.20471359171138254,Weak,Positive
BurnRCA,meanAirTemp,-0.18755404526171407,0.11465030783727692,0.18755404526171407,Very Weak,Negative
BurnRCA,VegHeight_,0.1620142111480526,0.1739317453031508,0.1620142111480526,Very Weak,Positive
BurnRCA,WetlandsRC,-0.1594914202737137,0.1808219652335663,0.1594914202737137,Very Weak,Negative
BurnRCA,RoadsRCA,-0.13152634104120386,0.27076687599555727,0.13152634104120386,Very Weak,Negative
HiCascRCA,WetlandsRC,-0.10611176497125892,0.3750044617842403,0.10611176497125892,Very Weak,Negative
BurnRCA,thermalSensitivity,-0.08320302557454584,0.48714852070941683,0.08320302557454584,Very Weak,Negative
LakesRCA,RoadsRCA,0.07077823141592639,0.5546517557075452,0.07077823141592639,Very Weak,Positive
BurnRCA,HiCascRCA,-0.04070973949405593,0.7342114030325546,0.04070973949405593,Very Weak,Negative
BurnRCA,LakesRCA,-0.037321873246828105,0.7556086144835661,0.037321873246828105,Very Weak,Negative
RoadsRCA,thermalSensitivity,-0.03574874588454781,0.7656080600722568,0.03574874588454781,Very Weak,Negative
HiCascRCA,RoadsRCA,-0.023019645359873307,0.8477930906296276,0.023019645359873307,Very Weak,Negative
BurnRCA,VegCover,-0.009916277665657914,0.9341125090416611,0.009916277665657914,Very Weak,Negative
BurnRCA,meanStreamTemp,0.0029183330414360486,0.9805897549982834,0.0029183330414360486,Very Weak,Positive
