Variable 1,Variable 2,Correlation Coefficient,p Value,Absolute Value of Correlation,Correlation Strength,Direction
Elev,Precip_mm,0.8361183040398512,0,0.8361183040398512,Very Strong,Positive
h2oAgricul,WetPrecip,-0.836115489087354,0,0.836115489087354,Very Strong,Negative
AgBuf,AgricultRC,0.8356416833741634,0,0.8356416833741634,Very Strong,Positive
DevelopRCA,Elev,-0.8345551480290726,0,0.8345551480290726,Very Strong,Negative
h2oDevelop,Precip_mm,-0.8341802989196638,0,0.8341802989196638,Very Strong,Negative
AgricultRC,VegHeight_,-0.8303282238271374,0,0.8303282238271374,Very Strong,Negative
h2oAgricul,Precip_mm,-0.8277772995490225,0,0.8277772995490225,Very Strong,Negative
AgBuf,DevelopRCA,0.8248548723892613,0,0.8248548723892613,Very Strong,Positive
Elev,VegCover,0.8242228333413744,0,0.8242228333413744,Very Strong,Positive
BurnBuf,BurnRCA,0.8189729025207227,0,0.8189729025207227,Very Strong,Positive
MaxAir_C,SumPrecip,-0.8172636183797868,0,0.8172636183797868,Very Strong,Negative
MaxAir_C,meanAirTemp,0.8170927612782433,0,0.8170927612782433,Very Strong,Positive
BFI,meanStreamTemp,-0.8147332302299183,0,0.8147332302299183,Very Strong,Negative
AgricultRC,Elev,-0.8053669707099376,0,0.8053669707099376,Very Strong,Negative
Elev,h2oDevelop,-0.8049959678395944,0,0.8049959678395944,Very Strong,Negative
h2oAgricul,VegHeight_,-0.8040794569820546,0,0.8040794569820546,Very Strong,Negative
h2oDevelop,VegHeight_,-0.8033127928583776,0,0.8033127928583776,Very Strong,Negative
AgBuf,h2oAgricul,0.7982494603123773,0,0.7982494603123773,Very Strong,Positive
DevelopRCA,VegHeight_,-0.7982083935044231,0,0.7982083935044231,Very Strong,Negative
Elev,VegHeight_,0.7960470240105498,0,0.7960470240105498,Very Strong,Positive
MeanAirJJA,Precip_mm,-0.7941360953407208,0,0.7941360953407208,Very Strong,Negative
BFI,VegHeight_,0.7929911470983471,0,0.7929911470983471,Very Strong,Positive
AgBuf,h2oDevelop,0.7920656319632342,0,0.7920656319632342,Very Strong,Positive
LakesBuf,LakesRCA,0.7866633259948321,2.220446049250313e-16,0.7866633259948321,Strong,Positive
AgBuf,DevelopBuf,0.7861617755893837,4.440892098500626e-16,0.7861617755893837,Strong,Positive
MeanAirJJA,WetPrecip,-0.7838429001077569,4.440892098500626e-16,0.7838429001077569,Strong,Negative
BFI,WetPrecip,0.7827877092080403,4.440892098500626e-16,0.7827877092080403,Strong,Positive
h2oHiCascP,thermalSensitivity,-0.7781816949824829,8.881784197001252e-16,0.7781816949824829,Strong,Negative
AgBuf,WetPrecip,-0.7757488582239739,1.3322676295501878e-15,0.7757488582239739,Strong,Negative
BFI,Precip_mm,0.7753089994058637,1.3322676295501878e-15,0.7753089994058637,Strong,Positive
BFI,thermalSensitivity,-0.7724074770534384,1.7763568394002505e-15,0.7724074770534384,Strong,Negative
VegHeight_,VegHtBuf,0.7697689004679886,2.6645352591003757e-15,0.7697689004679886,Strong,Positive
DevelopBuf,h2oDevelop,0.7676015438339282,3.552713678800501e-15,0.7676015438339282,Strong,Positive
Elev,MeanAirJJA,-0.7668987925934391,3.9968028886505635e-15,0.7668987925934391,Strong,Negative
meanStreamTemp,thermalSensitivity,0.7668164685783848,3.9968028886505635e-15,0.7668164685783848,Strong,Positive
Elev,h2oAgricul,-0.7663291647993873,4.440892098500626e-15,0.7663291647993873,Strong,Negative
AgricultRC,VegCover,-0.7654607634970894,4.884981308350689e-15,0.7654607634970894,Strong,Negative
AgBuf,Precip_mm,-0.7646132280075556,5.3290705182007514e-15,0.7646132280075556,Strong,Negative
AgBuf,MeanAirJJA,0.7644129468885553,5.551115123125783e-15,0.7644129468885553,Strong,Positive
AgBuf,Elev,-0.7606632507956936,8.881784197001252e-15,0.7606632507956936,Strong,Negative
h2oDevelop,h2oVegHt,-0.7579685148343295,1.2878587085651816e-14,0.7579685148343295,Strong,Negative
h2oKm2,SLOPE,-0.7548007650065203,1.887379141862766e-14,0.7548007650065203,Strong,Negative
VegCover,VegHtBuf,0.7512745050738971,2.930988785010413e-14,0.7512745050738971,Strong,Positive
MaxAir_C,MeanAirJJA,0.7509046753622722,3.064215547965432e-14,0.7509046753622722,Strong,Positive
DevelopRCA,VegCover,-0.7504649238610943,3.219646771412954e-14,0.7504649238610943,Strong,Negative
AgBuf,VegHeight_,-0.7458829796315004,5.595524044110789e-14,0.7458829796315004,Strong,Negative
AgBuf,BFI,-0.7440102838889059,6.972200594645983e-14,0.7440102838889059,Strong,Negative
VegHeight_,WetPrecip,0.7433538658375034,7.549516567451064e-14,0.7433538658375034,Strong,Positive
AgBuf,MeanMaxAir,0.7363735902285092,1.6897594434794883e-13,0.7363735902285092,Strong,Positive
h2oAgricul,h2oVegHt,-0.733966527278993,2.220446049250313e-13,0.733966527278993,Strong,Negative
BFI,h2oVegHt,0.7310005561983939,3.0953017926549364e-13,0.7310005561983939,Strong,Positive
BFI,h2oHiCascP,0.7293147989625869,3.730349362740526e-13,0.7293147989625869,Strong,Positive
AgricultRC,DevelopBuf,0.7287660958482094,3.9612757518625585e-13,0.7287660958482094,Strong,Positive
Precip_mm,VegHeight_,0.7276572480002129,4.476419235288631e-13,0.7276572480002129,Strong,Positive
BFI,VegCover,0.7271323694933877,4.738431869100168e-13,0.7271323694933877,Strong,Positive
h2oDevelop,VegCover,-0.7269036619402292,4.858335955759685e-13,0.7269036619402292,Strong,Negative
meanStreamTemp,VegCover,-0.7268868091164362,4.867217739956686e-13,0.7268868091164362,Strong,Negative
VegCover,WetPrecip,0.7252126927632578,5.839773109528323e-13,0.7252126927632578,Strong,Positive
VegCovBuf,VegCover,0.7235811582316142,6.967759702547482e-13,0.7235811582316142,Strong,Positive
DevelopBuf,h2oAgricul,0.7226050310929949,7.736034035588091e-13,0.7226050310929949,Strong,Positive
MeanMaxAir,Precip_mm,-0.7220837287099732,8.180123245438153e-13,0.7220837287099732,Strong,Negative
AgBuf,meanAirTemp,0.7216751302825165,8.544276397515205e-13,0.7216751302825165,Strong,Positive
AgBuf,VegCover,-0.7179246347192867,1.2709833185908792e-12,0.7179246347192867,Strong,Negative
h2oAgricul,VegCover,-0.7164606225290692,1.481703648664734e-12,0.7164606225290692,Strong,Negative
DevelopRCA,meanStreamTemp,0.7164513696063897,1.4832579608992091e-12,0.7164513696063897,Strong,Positive
Precip_mm,VegCover,0.7144373506003637,1.8283152769527078e-12,0.7144373506003637,Strong,Positive
h2oHiCascP,HiCascRCA,0.7142435802501117,1.865396725975188e-12,0.7142435802501117,Strong,Positive
MeanMaxAir,WetPrecip,-0.7063222735094971,4.1744385725905886e-12,0.7063222735094971,Strong,Negative
h2oVegHt,VegHeight_,0.7017535447449428,6.5638605661888505e-12,0.7017535447449428,Strong,Positive
AgricultRC,meanStreamTemp,0.7013566543568445,6.824318887765912e-12,0.7013566543568445,Strong,Positive
DevelopBuf,WetPrecip,-0.7004853045971369,7.431388837630948e-12,0.7004853045971369,Strong,Negative
meanAirTemp,Precip_mm,-0.6965384873162497,1.0890843782362936e-11,0.6965384873162497,Strong,Negative
BFI,DevelopBuf,-0.693787024277261,1.4165113526587447e-11,0.693787024277261,Strong,Negative
meanStreamTemp,VegHeight_,-0.6915104933024339,1.7567725052458627e-11,0.6915104933024339,Strong,Negative
Elev,thermalSensitivity,-0.6888688794659481,2.2497559371004172e-11,0.6888688794659481,Strong,Negative
MeanAirJJA,meanStreamTemp,0.6875768936816379,2.5366597711240502e-11,0.6875768936816379,Strong,Positive
DevelopRCA,LakesBuf,0.6868007873839834,2.7255087076127893e-11,0.6868007873839834,Strong,Positive
DevelopBuf,Precip_mm,-0.6860282859108967,2.92679214197733e-11,0.6860282859108967,Strong,Negative
DevelopBuf,Elev,-0.6859284966215375,2.9538149703967065e-11,0.6859284966215375,Strong,Negative
meanAirTemp,WetPrecip,-0.6847743471125095,3.284128524683183e-11,0.6847743471125095,Strong,Negative
Elev,VegHtBuf,0.683022145028224,3.8539837987627834e-11,0.683022145028224,Strong,Positive
h2oDevelop,thermalSensitivity,0.6787821641145126,5.650635515053182e-11,0.6787821641145126,Strong,Positive
h2oVegHt,VegCover,0.6780514131495612,6.032019328472416e-11,0.6780514131495612,Strong,Positive
h2oDevelop,meanStreamTemp,0.6733465789220039,9.144551782469534e-11,0.6733465789220039,Strong,Positive
AgBuf,meanStreamTemp,0.6706189836292074,1.15991216631528e-10,0.6706189836292074,Strong,Positive
h2oDevelop,h2oVegCov,-0.6682100081280715,1.428002160963615e-10,0.6682100081280715,Strong,Negative
DevelopRCA,MeanAirJJA,0.6661331245359031,1.7057644186024845e-10,0.6661331245359031,Strong,Positive
h2oAgricul,h2oVegCov,-0.6635796424735161,2.118307751430848e-10,0.6635796424735161,Strong,Negative
AgricultRC,MeanAirJJA,0.66157398135999,2.5075053144973936e-10,0.66157398135999,Strong,Positive
h2oVegHt,thermalSensitivity,-0.6586379610906958,3.20242055096287e-10,0.6586379610906958,Strong,Negative
h2oAgricul,meanStreamTemp,0.6567617409591086,3.739009102332602e-10,0.6567617409591086,Strong,Positive
AgricultRC,h2oVegHt,-0.6549551651736921,4.336029313378731e-10,0.6549551651736921,Strong,Negative
h2oAgricul,thermalSensitivity,0.649228091817847,6.88983980978719e-10,0.649228091817847,Strong,Positive
DevelopRCA,LakesRCA,0.6484610560202103,7.325253736922832e-10,0.6484610560202103,Strong,Positive
meanStreamTemp,VegHtBuf,-0.6483835482964547,7.370681842644444e-10,0.6483835482964547,Strong,Negative
DevelopRCA,h2oVegHt,-0.6465716338966221,8.512541782579319e-10,0.6465716338966221,Strong,Negative
BFI,HiCascRCA,0.6435583315339822,1.079365041789515e-9,0.6435583315339822,Strong,Positive
meanStreamTemp,WetPrecip,-0.6416183651690291,1.2558891704372854e-9,0.6416183651690291,Strong,Negative
h2oAgricul,MeanAirJJA,0.6403446914945786,1.3863994396956514e-9,0.6403446914945786,Strong,Positive
MeanAirJJA,VegCover,-0.6386561382547564,1.5794505703325967e-9,0.6386561382547564,Strong,Negative
h2oDevelop,MeanAirJJA,0.6382243753294888,1.6327796892312563e-9,0.6382243753294888,Strong,Positive
DevelopBuf,VegHeight_,-0.6378954311659288,1.6745560493802714e-9,0.6378954311659288,Strong,Negative
BFI,MeanAirJJA,-0.6372021583923353,1.76596204326529e-9,0.6372021583923353,Strong,Negative
Elev,meanAirTemp,-0.6317268835642327,2.674608090558195e-9,0.6317268835642327,Strong,Negative
HiCascRCA,meanStreamTemp,-0.6316975957159455,2.6804949371239672e-9,0.6316975957159455,Strong,Negative
DevelopBuf,LakesBuf,0.6315048074631014,2.7195534713087e-9,0.6315048074631014,Strong,Positive
Elev,HiCascRCA,0.6307542456074874,2.8768405435641853e-9,0.6307542456074874,Strong,Positive
meanStreamTemp,Precip_mm,-0.6290432884381475,3.2683931117105658e-9,0.6290432884381475,Strong,Negative
meanStreamTemp,VegCovBuf,-0.6267718353628097,3.867109743538322e-9,0.6267718353628097,Strong,Negative
Elev,h2oVegHt,0.6264019920611178,3.973975815085851e-9,0.6264019920611178,Strong,Positive
AgBuf,VegHtBuf,-0.624636690162631,4.5239598733815e-9,0.624636690162631,Strong,Negative
MeanMaxAir,SumPrecip,-0.6231082232980041,5.057966934174374e-9,0.6231082232980041,Strong,Negative
h2oHiCascP,h2oVegHt,0.6168257945236799,7.951078906387465e-9,0.6168257945236799,Strong,Positive
BurnRCA,h2oBurnPer,0.6159713023023152,8.449135835419952e-9,0.6159713023023152,Strong,Positive
AgricultRC,LakesRCA,0.6155973493060729,8.676307450272702e-9,0.6155973493060729,Strong,Positive
VegHtBuf,WetPrecip,0.6151112114988208,8.980319821105809e-9,0.6151112114988208,Strong,Positive
MeanAirJJA,VegHtBuf,-0.6145965682910407,9.31318044905538e-9,0.6145965682910407,Strong,Negative
AgricultRC,thermalSensitivity,0.61451324597154,9.368162467993102e-9,0.61451324597154,Strong,Positive
Elev,VegCovBuf,0.6129042633601904,1.049237585704077e-8,0.6129042633601904,Strong,Positive
DevelopBuf,VegCover,-0.6127519090382761,1.0605230915672337e-8,0.6127519090382761,Strong,Negative
DevelopRCA,VegHtBuf,-0.6099346597438411,1.2912011460031181e-8,0.6099346597438411,Strong,Negative
h2oAgricul,meanAirTemp,0.6090523134660926,1.372752311823433e-8,0.6090523134660926,Strong,Positive
h2oVegHt,meanStreamTemp,-0.6077882822046434,1.4981484719456262e-8,0.6077882822046434,Strong,Negative
h2oHiCascP,SumPrecip,-0.6058966626815565,1.706304741944109e-8,0.6058966626815565,Strong,Negative
AgricultRC,meanAirTemp,0.6054756825618729,1.756228074079047e-8,0.6054756825618729,Strong,Positive
h2oHiCascP,meanStreamTemp,-0.6049739501812771,1.8175396521158405e-8,0.6049739501812771,Strong,Negative
VegCovBuf,VegHeight_,0.6022257602804715,2.1910792957768876e-8,0.6022257602804715,Strong,Positive
RoadsBuf,RoadsRCA,0.6012169762346405,2.34564851986363e-8,0.6012169762346405,Strong,Positive
Precip_mm,VegHtBuf,0.5978706640381902,2.9358743436347368e-8,0.5978706640381902,Strong,Positive
DevelopRCA,meanAirTemp,0.597836429334206,2.9425843983688083e-8,0.597836429334206,Strong,Positive
meanAirTemp,meanStreamTemp,0.5974015254944701,3.029102702001296e-8,0.5974015254944701,Strong,Positive
AgricultRC,VegHtBuf,-0.5972328700539936,3.0632994807433533e-8,0.5972328700539936,Strong,Negative
thermalSensitivity,VegHeight_,-0.5955520554419298,3.424720063094355e-8,0.5955520554419298,Strong,Negative
h2oDevelop,h2oHiCascP,-0.5948882351048018,3.578309648588629e-8,0.5948882351048018,Strong,Negative
MeanAirJJA,VegHeight_,-0.5946863091900514,3.6263107627831914e-8,0.5946863091900514,Strong,Negative
HiCascRCA,thermalSensitivity,-0.5931309100756962,4.01706659047818e-8,0.5931309100756962,Strong,Negative
h2oVegCov,VegCover,0.5930356941910929,4.0422401426098986e-8,0.5930356941910929,Strong,Positive
AgBuf,h2oVegHt,-0.5928416796662391,4.0939980738841086e-8,0.5928416796662391,Strong,Negative
DevelopBuf,MeanAirJJA,0.5891429429410133,5.209489839508308e-8,0.5891429429410133,Moderate,Positive
h2oDevelop,meanAirTemp,0.5890088175488624,5.2549115281408376e-8,0.5890088175488624,Moderate,Positive
h2oAgricul,MeanMaxAir,0.5857578150677897,6.47783089391396e-8,0.5857578150677897,Moderate,Positive
MeanAirJJA,VegCovBuf,-0.5851975750466073,6.714099076710056e-8,0.5851975750466073,Moderate,Negative
h2oLakesPe,h2oWetland,0.5838266782885115,7.327144846414058e-8,0.5838266782885115,Moderate,Positive
BFI,VegHtBuf,0.5823073896807726,8.068367551850031e-8,0.5823073896807726,Moderate,Positive
DevelopBuf,meanStreamTemp,0.5822141136559431,8.116114114109507e-8,0.5822141136559431,Moderate,Positive
AgricultRC,MeanMaxAir,0.581688335716318,8.390296035720723e-8,0.581688335716318,Moderate,Positive
thermalSensitivity,VegCover,-0.5782973678359032,1.0380762249795339e-7,0.5782973678359032,Moderate,Negative
SLOPE,VegCovBuf,0.5774603793120439,1.0936749217371755e-7,0.5774603793120439,Moderate,Positive
DevelopBuf,VegHtBuf,-0.5759887375811517,1.1983275749472e-7,0.5759887375811517,Moderate,Negative
h2oVegCov,VegHeight_,0.5749937731259518,1.274376493221041e-7,0.5749937731259518,Moderate,Positive
AgricultRC,LakesBuf,0.5731679111403322,1.4259563485552462e-7,0.5731679111403322,Moderate,Positive
DevelopRCA,thermalSensitivity,0.57011428269670406,1.7182120370939913e-7,0.57011428269670406,Moderate,Positive
AgricultRC,h2oVegCov,-0.569959365421378,1.7344539315899965e-7,0.569959365421378,Moderate,Negative
DevelopRCA,MeanMaxAir,0.5699417549693225,1.7363094162448078e-7,0.5699417549693225,Moderate,Positive
DevelopBuf,h2oVegHt,-0.5689638708717688,1.8423386238808348e-7,0.5689638708717688,Moderate,Negative
h2oRdDens,Precip_mm,-0.5683594437679959,1.9109051407895095e-7,0.5683594437679959,Moderate,Negative
DevelopBuf,LakesRCA,0.5676430621321551,1.9952955798707706e-7,0.5676430621321551,Moderate,Positive
Elev,h2oHiCascP,0.5675439341341766,2.0072466755394203e-7,0.5675439341341766,Moderate,Positive
Elev,MeanMaxAir,-0.566959906370903,2.0790434573925154e-7,0.566959906370903,Moderate,Negative
h2oAgricul,h2oHiCascP,-0.5661867432474387,2.177830116245616e-7,0.5661867432474387,Moderate,Negative
h2oDevelop,MeanMaxAir,0.5649863748967615,2.3400344417723318e-7,0.5649863748967615,Moderate,Positive
BFI,LakesBuf,-0.5621186430855071,2.7749742992355664e-7,0.5621186430855071,Moderate,Negative
AgBuf,MaxAir_C,0.5615281733412221,2.8735367774146425e-7,0.5615281733412221,Moderate,Positive
h2oHiCascP,HiCascBuf,0.5612335665226431,2.923940640719991e-7,0.5612335665226431,Moderate,Positive
AgBuf,h2oVegCov,-0.5564561592489597,3.867385980349525e-7,0.5564561592489597,Moderate,Negative
DevelopBuf,meanAirTemp,0.5542711623946316,4.3886827905126324e-7,0.5542711623946316,Moderate,Positive
h2oRdDens,WetPrecip,-0.5538867327168642,4.4869974358263676e-7,0.5538867327168642,Moderate,Negative
h2oDevelop,LakesBuf,0.5530908480581267,4.6971799161354966e-7,0.5530908480581267,Moderate,Positive
BFI,h2oVegCov,0.5491589817892373,5.879004714159919e-7,0.5491589817892373,Moderate,Positive
h2oDevelop,LakesRCA,0.5479902093719149,6.281119677709057e-7,0.5479902093719149,Moderate,Positive
DevelopRCA,h2oVegCov,-0.5450654447948775,7.403967066110795e-7,0.5450654447948775,Moderate,Negative
BFI,HiCascBuf,0.5431784845568458,8.226013783474428e-7,0.5431784845568458,Moderate,Positive
h2oAgricul,h2oWetland,0.5410802020721924,9.240784577535521e-7,0.5410802020721924,Moderate,Positive
Elev,HiCascBuf,0.5409986113536103,9.282530109011589e-7,0.5409986113536103,Moderate,Positive
Elev,LakesBuf,-0.5407019213733338,9.435831933579664e-7,0.5407019213733338,Moderate,Negative
meanStreamTemp,SLOPE,-0.540416247032922,9.585692026803372e-7,0.540416247032922,Moderate,Negative
BFI,LakesRCA,-0.5361502978798995,1.210787269112501e-6,0.5361502978798995,Moderate,Negative
BFI,meanAirTemp,-0.5351439369584777,1.27878306299678e-6,0.5351439369584777,Moderate,Negative
meanAirTemp,VegCover,-0.5329981848935607,1.4359401501184976e-6,0.5329981848935607,Moderate,Negative
DevelopRCA,WetlandsRC,0.5316951656110848,1.5400562825007569e-6,0.5316951656110848,Moderate,Positive
h2oVegHt,WetPrecip,0.5302276279378045,1.6658026431581874e-6,0.5302276279378045,Moderate,Positive
HiCascBuf,meanStreamTemp,-0.5293995549413442,1.7409524157852019e-6,0.5293995549413442,Moderate,Negative
DevelopBuf,MeanMaxAir,0.5293717205231712,1.7435329791037901e-6,0.5293717205231712,Moderate,Positive
MaxAir_C,Precip_mm,-0.52931148173762,1.7491301060879039e-6,0.52931148173762,Moderate,Negative
HiCascRCA,VegHeight_,0.5276676142312637,1.9085517926065165e-6,0.5276676142312637,Moderate,Positive
h2oAgricul,VegHtBuf,-0.5274795154770454,1.9276397975609427e-6,0.5274795154770454,Moderate,Negative
h2oDevelop,h2oWetland,0.5253048960812424,2.161742399309219e-6,0.5253048960812424,Moderate,Positive
meanAirTemp,VegHtBuf,-0.5236805130874777,2.353759715134629e-6,0.5236805130874777,Moderate,Negative
Elev,LakesRCA,-0.5236466615059617,2.35792663061396e-6,0.5236466615059617,Moderate,Negative
MeanAirJJA,RoadsRCA,0.5235858918892838,2.365424370154301e-6,0.5235858918892838,Moderate,Positive
Forest21,VegHeight_,0.5204686356823487,2.7814971792494703e-6,0.5204686356823487,Moderate,Positive
MeanMaxAir,RoadsRCA,0.5185357929781109,3.0729945481589027e-6,0.5185357929781109,Moderate,Positive
h2oDevelop,VegHtBuf,-0.5171555129788225,3.2984419662263065e-6,0.5171555129788225,Moderate,Negative
h2oRdDens,MeanMaxAir,0.5170938850668763,3.3088610345011205e-6,0.5170938850668763,Moderate,Positive
AgricultRC,h2oWetland,0.5158600030986391,3.5240759976851166e-6,0.5158600030986391,Moderate,Positive
meanAirTemp,VegHeight_,-0.5157468132595002,3.544462497728773e-6,0.5157468132595002,Moderate,Negative
h2oWetland,WetPrecip,-0.5143562658454964,3.804107244764765e-6,0.5143562658454964,Moderate,Negative
DevelopBuf,h2oVegCov,-0.5118246274285769,4.323181825416356e-6,0.5118246274285769,Moderate,Negative
MaxAir_C,WetPrecip,-0.5111697251395211,4.467879257674667e-6,0.5111697251395211,Moderate,Negative
h2oWetland,Precip_mm,-0.5108978949432157,4.5292612460556825e-6,0.5108978949432157,Moderate,Negative
AgricultRC,WetlandsRC,0.5100765806341828,4.719557023413756e-6,0.5100765806341828,Moderate,Positive
MeanAirJJA,SLOPE,-0.5090198459956778,4.975426009412587e-6,0.5090198459956778,Moderate,Negative
h2oVegHt,Precip_mm,0.508229283989152,5.175280465063992e-6,0.508229283989152,Moderate,Positive
AgricultRC,h2oHiCascP,-0.5078296304439126,5.279150674830646e-6,0.5078296304439126,Moderate,Negative
Forest21,h2oAgricul,-0.5067094469577047,5.580787298731238e-6,0.5067094469577047,Moderate,Negative
DevelopRCA,WetlandBuf,0.5048133544784236,6.128411180306159e-6,0.5048133544784236,Moderate,Positive
AgBuf,VegCovBuf,-0.5046321036912954,6.1833127855681624e-6,0.5046321036912954,Moderate,Negative
h2oRdDens,meanAirTemp,0.5045136426861642,6.219443481558784e-6,0.5045136426861642,Moderate,Positive
h2oAgricul,LakesRCA,0.5039104240251017,6.40651045946683e-6,0.5039104240251017,Moderate,Positive
MeanMaxAir,VegHtBuf,-0.5032406442076398,6.620381764355088e-6,0.5032406442076398,Moderate,Negative
Forest21,VegCover,0.5027299555489362,6.7879217000577086e-6,0.5027299555489362,Moderate,Positive
MaxAir_C,RoadsRCA,0.5022918442510896,6.934804215763535e-6,0.5022918442510896,Moderate,Positive
LakesBuf,WetPrecip,-0.500727925993299,7.483736351954207e-6,0.500727925993299,Moderate,Negative
BurnRCA,Shrub21,0.49990485032738513,7.7887026519452e-6,0.49990485032738513,Moderate,Positive
h2oKm2,VegCovBuf,-0.49985126230830057,7.808955643451299e-6,0.49985126230830057,Moderate,Negative
h2oHiCascP,VegHeight_,0.4997099977834782,7.86258125007322e-6,0.4997099977834782,Moderate,Positive
thermalSensitivity,WetPrecip,-0.4988903929718069,8.180568918270126e-6,0.4988903929718069,Moderate,Negative
HiCascRCA,Solar,-0.49780647573590925,8.619588504732434e-6,0.49780647573590925,Moderate,Negative
Forest21,h2oDevelop,-0.49755753857362656,8.72347849734112e-6,0.49755753857362656,Moderate,Negative
DevelopRCA,h2oWetland,0.4970723875460818,8.929320107764482e-6,0.4970723875460818,Moderate,Positive
HiCascRCA,VegCover,0.49703615805090007,8.944872425420414e-6,0.49703615805090007,Moderate,Positive
LakesBuf,Precip_mm,-0.4953257852207851,9.708572077160582e-6,0.4953257852207851,Moderate,Negative
AgBuf,h2oWetland,0.49435534979330464,1.016854224200614e-5,0.49435534979330464,Moderate,Positive
meanAirTemp,RoadsRCA,0.494134121594718,1.027621185811789e-5,0.494134121594718,Moderate,Positive
DevelopRCA,h2oRdDens,0.4921424262548044,1.129465127780449e-5,0.4921424262548044,Moderate,Positive
BFI,h2oWetland,-0.490408980334941,1.2256972774737918e-5,0.490408980334941,Moderate,Negative
LakesRCA,WetPrecip,-0.48975850595343967,1.2637430204076594e-5,0.48975850595343967,Moderate,Negative
MeanMaxAir,meanStreamTemp,0.4895596368222036,1.2755929132524102e-5,0.4895596368222036,Moderate,Positive
Elev,h2oWetland,-0.4893437425800077,1.288574615188054e-5,0.4893437425800077,Moderate,Negative
Precip_mm,thermalSensitivity,-0.4891129581999647,1.3025879301631349e-5,0.4891129581999647,Moderate,Negative
DevelopRCA,h2oHiCascP,-0.4865662101009659,1.4669650946208534e-5,0.4865662101009659,Moderate,Negative
meanAirTemp,VegCovBuf,-0.4859753230328102,1.5077734253576835e-05,0.4859753230328102,Moderate,Negative
h2oVegCov,thermalSensitivity,-0.4855812910416477,1.5355721103338382e-5,0.4855812910416477,Moderate,Negative
LakesRCA,Precip_mm,-0.4853944961781691,1.5489166748094974e-5,0.4853944961781691,Moderate,Negative
RoadsRCA,VegHtBuf,-0.48493864513096296,1.5819378282877494e-5,0.48493864513096296,Moderate,Negative
Elev,SLOPE,0.48394335623969986,1.656329193844286e-5,0.48394335623969986,Moderate,Positive
RoadsRCA,VegCovBuf,-0.4832660547056779,1.7088039601542704e-5,0.4832660547056779,Moderate,Negative
AgBuf,WetlandsRC,0.48291494429201204,1.7366125685036593e-5,0.48291494429201204,Moderate,Positive
AgricultRC,WetlandBuf,0.4828185612896164,1.744319736252109e-5,0.4828185612896164,Moderate,Positive
